Year,Business_Type,Small and Micro,Medium,Large
2007,Restaurants and coffee shops,7168,2528,2744
2007,Takeaway/fast-food outlets,3336,618,3665
2007,Caterers and other catering services,1670,361,4514
2009,Restaurants and coffee shops,12502,2993,5752
2009,Takeaway/fast-food outlets,5972,1250,7474
2009,Caterers and other catering services,3277,788,4030
2012,Restaurants and coffee shops,3770,4274,13655
2012,Takeaway/fast-food outlets,8749,1361,3741
2012,Caterers and other catering services,4325,803,3221
2015,Restaurants and coffee shops,17837,4416,7774
2015,Takeaway/fast-food outlets,5049,1140,11207
2015,Caterers and other catering services,2791,773,3546
2018,Restaurants and coffee shops,26050,2624,5030
2018,Takeaway/fast-food outlets,6895,3247,14119
2018,Caterers and other catering services,3763,1241,9316
2022,Restaurants and coffee shops,41478,3363,6475
2022,Takeaway/fast-food outlets,7340,3415,20302
2022,Caterers and other catering services,9229,1270,6170
